,ticker,name,slug,marketcap,sector,category,tagline,desc,symbol
44,ALGO,Algorand,algorand,2750260978.746836,Smart Contract Platforms,Infrastructure,"Scalable, secure and decentralized digital currency and transactions platform","Algorand is a scalable, secure, and decentralized digital currency and smart contract platform. Its protocol uses a variation of <a href=""https://messari.io/resource/proof-of-stake"">Proof-of-Stake</a> (PoS) called Pure PoS (PPoS) to secure the network and reach consensus on block production. Unlike other PoS models, PPoS does not reward, nor does it put validator or user funds at risk of being slashed (a loss of funds used to promote honest node and user behavior). Algorand intends to eventually leverage its PPoS design to form the foundation for an on-chain governance system.",ALGO
45,KSM,Kusama,kusama,2697522176.3248177,Smart Contract Platforms,Infrastructure,"An early, unaudited and unrefined release of Polkadot","Kusama is an early, experimental version of Polkadot that exists as an independent network. It intends to act as a sandbox for developers, allowing teams to deploy and test pre-release versions of their projects before launching them on Polkadot's mainnet. Kusama will also serve as a testbed for Parity Technologies leading up to the mainnet launch of Polkadot. Like its sister chain, Kusama uses a native token, KSM, to power computation and give holders the ability to participate in securing the network and voting on upgrade proposals.",KSM
46,LUNA,Terra,terra,2672366517.7588196,Payment Platforms,Payments,A multi-fiat pegged stablecoin protocol,"Terra is an algorithmically-governed, seigniorage share style stablecoin platform to which a collection of fiat-pegged tokens and a stabilizing cryptoasset, Luna, are native.
",LUNA
47,AVAX,Avalanche,avalanche,2537009175.8284974,Smart Contract Platforms,Infrastructure,Open-source platform for launching decentralized applications,"Avalanche is an open-source platform for launching decentralized finance applications and enterprise blockchain deployments in one interoperable,  scalable ecosystem. Developers who build on Avalanche can create applications and custom blockchain networks with complex rulesets or build on existing private or public subnets.",AVAX
48,FXC,,flexacoin-old,,,,,,FXC
49,COMP,Compound,compound,2243972227.213534,Lending,Financial,Decentralized money market protocol,"Compound is a lending platform built on Ethereum that enables users to permissionlessly borrow or lend from a pool of assets. Rather than interest rates being set by individuals, they are determined algorithmically based on the proportion of assets lent out.",COMP
50,HBAR,Hedera Hashgraph,hedera-hashgraph,2156530004.4399037,Smart Contract Platforms,Infrastructure,A public ledger with permissioned governance ,"Hedera Hashgraph is a distributed ledger of transactions, otherwise known as a <a href=""https://messari.io/article/distributed-ledger-technology-dlt"">DLT</a> (distributed ledger technology). While blockchains are the most commonly used DLTs, Hedera is slightly different since it uses a new consensus algorithm known as hashgraph. The hashgraph consensus algorithm aims to process and finalize more transactions at scale than traditional Proof-of-Work (PoW) networks, as they are often characterized by high latency and low transactions per second (tps). Hedera's state is stored on mainnet nodes, which are all currently run by members of the Hedera Governing Council. But in the future, mainnet nodes will be permissionless. These nodes secure the Hedera ledger by reaching a consensus on the validity and order of transactions.

Hedera provides two core network services: the Hedera Consensus Service (HCS) and the Hedera Token Service (HTS). HCS allows clients to submit messages to the Hedera network for consensus timestamping and ordering, but it doesn't require the consensus nodes to store state related to that message. Instead, application state or data is persisted off-chain, where HCS users can define confidentiality and access control that cater to their use-case. The HTS supports native tokenization, whereby clients can create and manage various token types. Token controls include managing supply and KYC compliance, along with native atomic swaps and multi-sig capabilities.",HBAR
51,DASH,Dash,dash,2121373582.45878,Currencies,Payments,Digital Cash,"Dash is a fork of Bitcoin that focuses on the payments use case. It has introduced a number of features to the industry including masternodes, LLMQs, ChainLocks, and InstantSend, which target scalability, speed, reliability, cost-effectiveness, and user experience. The Dash network is also the longest-running decentralized autonomous organization, utilizing on-chain governance to allocate network resources toward projects and organizations that support the network.",DASH
52,FEI,Fei Protocol,fei-protocol,2048484802.889779,Stablecoins,Financial,,,FEI
53,EGLD,Elrond,elrond,1979384871.8444998,Smart Contract Platforms,Infrastructure,,Elrond is a blockchain designed for high throughput and relatively fast execution speed compared to other smart contract platforms. It features Adaptive State Sharding as its scaling solution and a Proof-of-Stake (PoS) variation called Secure PoS to secure the network. Elrond also contains a WebAssembly-based virtual machine that can support the creation and execution of decentralized applications (dApps).,EGLD
54,UST,Ultra Salescloud,ultra-salescloud,,,,,,UST
55,LEO,Unus Sed Leo,unus-sed-leo,1961838569.3991675,Centralized Exchanges,Financial,Bitfinex exchange token,A utility token for the iFinex ecosystem,LEO
56,DCR,Decred,decred,1933644162.4914997,Currencies,Payments,a community-directed cryptocurrency with on-chain governance,"Decred is a hybrid proof-of-work proof-of-stake (PoW/PoS) cryptocurrency with a strong focus on community input, open governance, and sustainable funding for development. It utilizes its hybrid consensus and on-chain governance systems to ensure that a small group cannot dominate the flow of transactions or make changes to Decred without the input of the community. The project funds its own development from a decentralized treasury. ",DCR
57,XEM,NEM,new-economy-movement,1881361959.4046273,Smart Contract Platforms,Infrastructure,A performance-focused smart contracts platform ,NEM is a smart contracts platform focused on high performance and enterprise solutions. ,XEM
58,TEL,Telcoin,telcoin,1872042240.8563385,Payment Platforms,Payments,Mobile remittance network,Telcoin is a mobile remittance network built on top of Ethereum. The project plans to compete with existing remittance providers by providing low-cost services directly through mobile carriers.,TEL
59,YFI,yearn.finance,yearn-finance,1737014211.0154974,Asset Management,Financial,Yield farming aggregator,"yEarn.finance is a decentralized asset management platform that has multiple uses ranging from liquidity provision, lending, to insurance. The most prominent product in its ecosystem is Vaults which maximize users' yields by through various yield farming strategies proposed by the community.",YFI
60,WAVES,Waves,waves,1735743233.5828736,Smart Contract Platforms,Infrastructure,Blockchain ecosystem for Web 3.0 ,"Waves is a public blockchain network that enables users to create and access decentralized applications. It features on-chain governance, Formal Verification for smart contracts, and a variation of Proof-of-Stake (PoS) called Leased PoS to ensure network consensus.",WAVES
61,CHZ,Chiliz,chiliz,1701800249.2927184,Misc,Media and Entertainment,The world's tokenized sports exchange,Chiliz developed the Socios.com sports fan engagement platform which is built on the Chiliz blockchain infrastructure & uses $CHZ as it’s exclusive on-platform currency.,CHZ
62,HOT,Hydro Protocol,hydro-protocol,7238107.551059488,Decentralized Exchanges,Financial,,,HOT
63,TTT,TrustNote,trustnote,,,,,,TTT
64,CEL,Celsius Network,celsius,1625628888.6285796,Lending,Financial,Peer-to-peer lending platform,"The Celsius Network is a leading retail savings platform for interest-bearing and borrowing accounts with fiat on-ramp, as well as a market-leading CeFi lending provider. Celsius Network operates on a community-first mandate, giving 80% of its revenue back to its users in the form of additional earnings on saving and borrowing. Combining attractive interest rates, low fees, and a strong community, the platform has experienced considerable growth since inception.",CEL
65,TFUEL,Theta Fuel,theta-fuel,1624627615.4815147,Content Creation and Distribution,Media and Entertainment,,,TFUEL
66,ZEC,Zcash,zcash,1596781173.7013955,Currencies,Payments,"A privacy-protecting, digital currency built on strong science","Zcash is a privacy-preserving cryptocurrency providing anonymous value transfer using zero-knowledge cryptography. The protocol provides the option for transactions to be either shielded, in which case they will be completely anonymous, or transparent, in which case they will be visible on the Zcash blockchain. Zcash pays out a portion of its block rewards, called the ""Founder's Reward"", to fund protocol development. It currently allocates the Founder's Reward to the Electric Coin Company and the Zcash Foundation who develop and steward the Zcash protocol respectively.",ZEC
67,SUSHI,SushiSwap,sushiswap,1570395951.6347826,Decentralized Exchanges,Financial,,"SushiSwap is a decentralized exchange built on Ethereum that utilizes an automated market making system rather than a traditional order-book. Instead of matching individual buy and sell orders, users can pool together two assets that are then traded against, with the price determined based on the ratio between the two. SushiSwap began as a fork of <a href=""https://messari.io/asset/uniswap"">Uniswap</a>; however, is growing into a more diversified, more grassroots alternative.
",SUSHI
68,SNX,Synthetix,synthetix,1566620093.4728045,Derivatives,Financial,"Decentralized synthetic asset platform that provides on-chain exposure to real-world currencies, commodities, stocks, and indices","Synthetix is a token for minting synthetic assets on the Synthetix Network, built on Ethereum.
",SNX
69,DFI,DeFiChain,defichain,1453354018.0716102,Decentralized Exchanges,Financial,,"DeFiChain is a blockchain platform dedicated to bringing full DeFi capabilities to the Bitcoin ecosystem. The network operates on a hybrid Proof of Stake / Proof of Work consensus mechanism, and further leverages Bitcoin’s security by anchoring to the Bitcoin blockchain (via Merkle root) every few blocks. Being non-Turing complete, DeFi transactions on DeFiChain flow quickly and smoothly at low gas rates, and have reduced risk of smart contract errors. 

DeFiChain currently supports tokenized BTC, ETH, USDT, DOGE, LTC, and BCH on the DeFiChain DEX.",DFI
70,MANA,Decentraland,decentraland,1441719204.975288,Virtual and Augmented Reality,Media and Entertainment,Virtual world on the Ethereum blockchain,"Decentraland is building a decentralized, blockchain-based virtual world for users to create, experience and monetize content and applications.",MANA
71,ENJ,Enjin Coin,enjin-coin,1439560718.5260842,Gaming,Media and Entertainment,Gaming community platform and virtual goods marketplace,Enjin is a Singapore-based technology company that provides services for building gaming communities as well as services for blockchain game developers. Enjin provides a suite of tools based on a web interface that supports Ethereum digital assets in the form of ERC-1155 tokens. Enjin also operates a virtual goods marketplaces for digital assets on Ethereum. ,ENJ
72,ZIL,Zilliqa,zilliqa,1414228411.8191102,Smart Contract Platforms,Infrastructure,High-throughput smart contract processing,"Zilliqa is a smart contract platform featuring a sharded architecture that aims to address the scalability limitations seen in some other blockchains. Its sharded design allows concurrent chains to execute transactions in parallel, thereby increasing the overall capacity of the network. In addition to scalability, Zilliqa provides a smart contract layer to support smart contract creation by way of its native programming language, Scilla. The network reaches a consensus on transactions and contract executions through a hybrid <a href=""https://messari.io/article/proof-of-work"">Proof-of-Work</a>-<a href=""https://messari.io/article/byzantine-general-s-problem"">BFT</a> mechanism. In the coming weeks, it will also introduce a <a href=""https://messari.io/article/staking"">staking</a> system to, in its words, increase the distribution of node operators.",ZIL
73,BAT,Basic Attention Token,basic-attention-token,1360351794.4071636,Advertising,Media and Entertainment,Blockchain-Based Digital Advertising,"Basic Attention Token (BAT) is a blockchain-based digital advertising and rewards platform powered by BAT, an ERC-20 token, and Brave, a new internet browser. BAT is utilized within this ecosystem as a payment token allowing advertisers, publishers, and users to spend, receive, and earn BAT, respectively.
",BAT
74,QTUM,Qtum,qtum,1359210599.7217355,Smart Contract Platforms,Infrastructure,A scalability-focused proof-of-stake smart contract platform,"Qtum (pronounced Quantum) is a smart contract platform that uses a <a href=""https://messari.io/resource/proof-of-stake"">Proof-of-Stake (PoS)</a> consensus mechanism to validate transaction blocks and provide security assurances. It combines different aspects of the Ethereum and Bitcoin blockchains. Qtum uses Bitcoin core as the base of its network for security and stability reasons and, therefore, operates via a UTXO model. The project also integrated Ethereum's virtual machine (the EVM) so the chain could run Turing complete code needed to support smart contracts, and thus decentralized applications (dApps). Qtum's stack features a middleware layer, dubbed the account abstraction layer (AAL), to ensure the UTXO set was compatible with the smart contract execution layer. Qtum's native token (QTUM) allows users to pay transaction fees, participate in network security, and vote on protocol upgrade proposals. ",QTUM
75,STX,Stacks,stacks,1299860449.4114738,Smart Contract Platforms,Infrastructure,,"Stacks (formerly Blockstack) provides software for internet ownership, which includes infrastructure and developer tools to power a computing network and ecosystem for decentralized applications (<a href=""https://messari.io/article/decentralized-applications-dapps"">dApps</a>). Its focus is to replace the reliance on centralized cloud service providers and apps that harvest and monetize user information. The Stacks network allows users to directly own digital assets like usernames, domain names, computer programs, etc. On the Stacks blockchain, computing is done on the edges (i.e., client devices), and applications on the platform store data individually and use the blockchain only when necessary.",STX
76,HNT,Helium,helium,1262280025.020328,IoT,Infrastructure,Decentralized Wireless Network,"Helium is a decentralized, open wireless network built on a new blockchain for the physical world. It relies on a novel type of work called Proof of Coverage, and a new consensus algorithm (based on HoneyBadger BFT). The Helium Network is used to route data for long-range, lower power IoT devices that use Helium's LongFi protocol",HNT
77,NEXO,Nexo,nexo,1239279091.8261082,Lending,Financial,Instant crypto credit lines,Nexo offers crypto backed lines of credit and interest-bearing crypto accounts.,NEXO
78,R,Revain,revain,1227271730.0128982,Misc,Services,Review system,,R
79,BTG,Bitcoin Gold,bitcoin-gold,1186953735.3495617,Currencies,Payments,A Bitcoin fork for restoring GPU mining ,"Bitcoin Gold is an experimental Bitcoin hard fork that prioritizes ""one CPU one vote"" blockchain governance.",BTG
